Consecutivo;;Cliente;Producto;PesoVenta;Sacos;Precio;Total
316;30/10/2015 07:39:30;592;1;13147;0;5858;77015126
317;30/10/2015 07:40:56;592;1;9967;0;5939;59194013
318;30/10/2015 07:41:26;592;1;14680;0;5939;87184520
319;30/10/2015 07:42:04;592;1;15278;0;5939;90736042
320;30/10/2015 07:43:40;592;1;13518;0;5939;80283402
321;03/11/2015 14:30:36;2279;15;28001;0;5000;140005000
322;04/11/2015 07:09:50;96;1;12510;0;5600;70056000
323;04/11/2015 07:10:07;96;1;13450;0;5600;75320000
324;04/11/2015 07:11:52;96;1;2518;0;5600;14100800
325;04/11/2015 07:12:06;96;1;13240;0;5600;74144000
326;04/11/2015 07:13:50;96;1;8282;0;5600;46379200
327;04/11/2015 07:15:12;96;1;5928;0;5800;34382400
328;04/11/2015 07:16:08;96;1;14540;0;5800;84332000
329;04/11/2015 07:16:36;96;1;12950;0;5800;75110000
330;04/11/2015 07:17:06;96;1;13130;0;5800;76154000
331;04/11/2015 07:17:58;96;1;3452;0;5800;20021600
332;05/11/2015 08:03:50;592;9;16834;0;8100;136355400
333;05/11/2015 08:04:04;592;9;16279;0;8100;131859900
334;06/11/2015 11:08:53;592;9;10621;0;8100;86030100
335;06/11/2015 11:10:10;592;9;7226;0;8100;58530600
336;07/11/2015 11:10:44;592;9;9791;0;8100;79307100
337;07/11/2015 14:21:11;77;9;15543;320;8030;124810290
338;09/11/2015 09:21:34;3607;7;1996;0;5300;10578800
339;09/11/2015 15:33:28;592;9;16096;0;8100;130377600
340;09/11/2015 15:33:44;592;9;16901;0;8100;136898100
341;09/11/2015 15:47:33;96;1;10138;0;5760;58394880
342;09/11/2015 15:47:54;96;1;11368;0;5760;65479680
343;09/11/2015 15:48:10;96;1;7570;0;5760;43603200
344;09/11/2015 15:49:22;96;1;10088;0;5760;58106880
345;09/11/2015 15:49:39;96;1;13440;0;5760;77414400
346;09/11/2015 15:51:04;96;1;12770;0;5760;73555200
347;10/11/2015 11:46:25;592;9;17012;0;8100;137797200
348;12/11/2015 09:13:17;592;9;16901;0;8100;136898100
349;13/11/2015 10:25:19;592;9;15123;0;8100;122496300
350;13/11/2015 10:26:11;592;9;16790;0;8100;135999000
351;14/11/2015 12:12:11;592;9;15853;0;8100;128409300
352;14/11/2015 12:14:10;592;9;16860;0;8100;136566000
353;14/11/2015 15:39:54;96;1;12660;0;5824;73731840
354;14/11/2015 15:40:06;96;1;9980;0;5824;58123520
355;14/11/2015 15:42:08;96;1;14300;0;5824;83283200
356;14/11/2015 15:42:21;96;1;13000;0;5824;75712000
357;14/11/2015 15:43:07;96;1;8520;0;5824;49620480
358;14/11/2015 15:43:53;96;1;11540;0;5824;67208960
